Date,Close,Lower_line,Upper_line
2019-11-02,9332.1,9052.31484375,9688.11484375
2019-11-03,9222.4,9021.586328125,9657.386328125
2019-11-04,9441.2,9063.75625,9699.55625
2019-11-05,9333.9,9110.7953125,9746.5953125
2019-11-06,9353.0,9113.621484375,9749.421484375
2019-11-07,9208.0,9016.7435546875,9652.5435546875
2019-11-08,8782.4,8792.476953125,9428.276953125
2019-11-09,8828.0,8560.418359375,9196.218359375
2019-11-10,9068.4,8646.05703125,9281.85703125
2019-11-11,8737.7,8655.6849609375,9291.4849609375
2019-11-12,8830.0,8500.1869140625,9135.9869140625
2019-11-13,8801.1,8522.6693359375,9158.4693359375
2019-11-14,8655.7,8477.3490234375,9113.1490234375
2019-11-15,8495.8,8359.5130859375,8995.3130859375
2019-11-16,8523.5,8245.6380859375,8881.4380859375
2019-11-17,8537.3,8267.54921875,8903.34921875
2019-11-18,8219.5,8132.0970703125,8767.8970703125
2019-11-19,8164.9,7920.750390625,8556.550390625
2019-11-20,8126.4,7899.8978515625,8535.6978515625
2019-11-21,7671.1,7673.990625,8309.790625
2019-11-22,7323.0,7169.13759765625,7804.93759765625
2019-11-23,7352.6,7010.51259765625,7646.31259765625
2019-11-24,6965.3,6970.02822265625,7605.82822265625
2019-11-25,7168.0,6748.9798828125,7384.7798828125
2019-11-26,7198.3,6909.70791015625,7545.50791015625
2019-11-27,7549.3,7018.11806640625,7653.91806640625
2019-11-28,7460.8,7242.74892578125,7878.54892578125
2019-11-29,7796.6,7375.7337890625,8011.5337890625
2019-11-30,7599.9,7433.50625,8069.30625
2019-12-01,7450.1,7257.57119140625,7893.37119140625
2019-12-02,7350.3,7108.5228515625,7744.3228515625
2019-12-03,7336.0,7097.36806640625,7733.16806640625
2019-12-04,7238.2,7176.8333984375,7812.6333984375
2019-12-05,7440.0,7081.46474609375,7717.26474609375
2019-12-06,7588.3,7216.38369140625,7852.18369140625
2019-12-07,7543.2,7317.6869140625,7953.4869140625
2019-12-08,7564.6,7281.32412109375,7917.12412109375
2019-12-09,7379.5,7245.64931640625,7881.44931640625
2019-12-10,7254.6,7093.66298828125,7729.46298828125
2019-12-11,7230.7,6987.9896484375,7623.7896484375
2019-12-12,7224.0,6960.824609375,7596.624609375
2019-12-13,7283.2,6990.0013671875,7625.8013671875
2019-12-14,7100.8,6945.406640625,7581.206640625
2019-12-15,7152.7,6860.3099609375,7496.1099609375
2019-12-16,6926.8,6808.426171875,7444.226171875
2019-12-17,6667.1,6596.30458984375,7232.10458984375
2019-12-18,7323.4,6621.5375,7257.3375
2019-12-19,7181.8,6966.89052734375,7602.69052734375
2019-12-20,7212.9,6959.0384765625,7594.8384765625
2019-12-21,7166.4,6925.3431640625,7561.1431640625
2019-12-22,7532.0,7021.60341796875,7657.40341796875
2019-12-23,7347.4,7209.297265625,7845.097265625
2019-12-24,7276.9,7084.7787109375,7720.5787109375
2019-12-25,7220.1,6981.66396484375,7617.46396484375
2019-12-26,7232.4,7017.930078125,7653.730078125
2019-12-27,7287.0,6962.37392578125,7598.17392578125
2019-12-28,7334.4,7043.246484375,7679.046484375
2019-12-29,7417.9,7130.36904296875,7766.16904296875
2019-12-30,7260.9,7088.3763671875,7724.1763671875
2019-12-31,7208.3,6990.990625,7626.790625
2020-01-01,7212.7,6958.11171875,7593.91171875
2020-01-02,6989.4,6869.02626953125,7504.82626953125
2020-01-03,7367.5,6843.2611328125,7479.0611328125
2020-01-04,7369.8,7066.0033203125,7701.8033203125
2020-01-05,7364.6,7142.99697265625,7778.79697265625
2020-01-06,7757.9,7235.0775390625,7870.8775390625
2020-01-07,8150.0,7598.90126953125,8234.70126953125
2020-01-08,8036.8,7884.937890625,8520.737890625
2020-01-09,7817.5,7732.37880859375,8368.17880859375
2020-01-10,8176.3,7647.9525390625,8283.7525390625
2020-01-11,8013.8,7844.10048828125,8479.90048828125
2020-01-12,8174.7,7812.99404296875,8448.79404296875
2020-01-13,8094.5,7860.953515625,8496.753515625
2020-01-14,8775.6,8061.8978515625,8697.6978515625
2020-01-15,8807.7,8423.8734375,9059.6734375
2020-01-16,8720.6,8516.562890625,9152.362890625
2020-01-17,8875.4,8540.0775390625,9175.8775390625
2020-01-18,8891.5,8614.1087890625,9249.9087890625
2020-01-19,8694.0,8590.109765625,9225.909765625
2020-01-20,8638.2,8405.9671875,9041.7671875
2020-01-21,8734.1,8295.5228515625,8931.3228515625
2020-01-22,8663.9,8397.0404296875,9032.8404296875
2020-01-23,8403.5,8485.2494140625,9121.0494140625
2020-01-24,8447.1,7839.25625,8475.05625
2020-01-25,8353.7,7968.050567626950,8597.201385498050
2020-01-26,8621.6,8007.658966064450,8636.809783935550
2020-01-27,8712.2,8091.203887939450,8720.354705810550
2020-01-28,NaN,8097.837677001950,8726.988494873050
2020-01-29,NaN,8028.991973876950,8658.142791748050
2020-01-30,NaN,7991.060333251950,8620.211151123050
